company,job_categories,keyword,max_salary,min_salary,requirements,responsibilities,seniority,title,url
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,6800,3400," Minimum Bachelor in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas: 	  Large-scale machine learning  Deep learning, supervised or unsupervised  Applying state-of-art machine learning techniques to practical problems in different domains   Experience in corporate or application orientated environments is a plus. Ability to work independently, as well as in teams highly desired.   Good communication skills for proposals, reports, and publications. Proficiency in spoken and written English. Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)  Computer vision and deep learning skills desirable  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified","About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong candidates in the field of ASIC/FPGA, Artificial Intelligence and deep learning, with an interest in working on design deep learning specific hardware chip and also applying it to practical problems such as car detention in autonomous vehicle. The position, based within the Program in Artificial Intelligence at I2R, entails working closely with a highly interdisciplinary team of researchers with training from leading universities at MIT, Stanford and CMU. Listed below are problems of interest in the Deep Leaming 2.0 hardware project: System Architecture Design for Deep Learning: Design an overall system, including an interface with the outside world (eg., HD video camera), a compiler framework, and an optimized computing architecture memory access bandwidth. RTL Design for Deep Learning:  Develop and debug RTL for specific deep learning algorithms including faster R-CNN with very deep ResNet as backbone, LSTM and 3D-CNN etc. Silicon/FPGA Design for Deep Learning: Silicon interface design and prototyping, Integrate the existing NN RTL into the Quartus toolchain and environment. Parameterize and adapt the NN to fit into FPGA. Add an RTL wrapper with the host-bridge and related buffing/flow-control. Develop front-end preprocessing on the ARM cores in the HPS part of the FPGA. Provide related CI/build tooling via GIT and validation automation. Add a DRAM/HBM memory interface to test at scale.   Deep Learning on Embedded Devices: Towards 100X smaller models Current deep learning models have10 s of millions of neurons, making it infeasible for deployment on mobile and embedded hardware. The aim is to achieve models that are I00x smaller, with little loss in performance. This capability will also be critical for emerging neuromorphic platforms, where the number of spiking neurons is orders of magnitude smaller than in current state-of-the-art deep learning models. Extreme Deep Learning: Training lB neural networks efficiently The high model capacity of deep networks is why increasing  amounts of data and model  size improves performance. However, there are substantial challenges in hardware and algorithms challenges in training very large models efficiently. The aim is to address these challenges to achieve more efficient training.  ",Professional,Senior Research Engineer(DL2.0)  /  I2R (A*STAR),https://www.mycareersfuture.sg/job/f46f67866c3ac6b043d8cd54fe85b296
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,6800,3400," Minimum Bachelor in Computer Science, Control, Computer Networking, Transportation Engineering, or related fields At least 3 years research and design experience in control or complex control systems Knowledge of control theory applied to transportation domain Knowledge of operations research theory and approaches Knowledge of traffic signal design, route guidance, traffic flow modelling Proficient with discrete-event and/or microscopic simulation tools for transportation Proficient in C/C++ programming Independent, self-motivated Team Player ","About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg  Design and development of vehicle and road network simulation platform that will enable the development and validation of the Urban Traffic Control and Route Guidance algorithms.  Development of the tracking and prediction modules, flexible simulation and emulation framework to test algorithms, performance evaluation, and interface to other key processing modules residing on cloud platform. ",Non-executive,Research Engineer (Smart Energy & Environment Cluster)  /  I²R (A*STAR),https://www.mycareersfuture.sg/job/274fcd3a52e2b9a97854c8a5931399d2
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,6800,3400,"  Master/Bachelor in Computer Science, Applied Mathematics, Engineering or Statistics   Minimum of 8 years of experience   Experience in software system implementation of one or more of these is a must: MES, APS, SCADA, CIM/Automation, Manufacturing Intelligence;   Implementation & deployment experience of mission critical systems     The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg To drive the adoption of industry 4.0 solutions, ARTC has set up the Smart Manufacturing Group as a demonstrating platform for the industry. This public-private partnership programme aims to co-develop a model factory with industry players, to collaborate and develop Future or Manufacturing (FoM) technologies, based on real applications in advanced manufacturing and remanufacturing. With the demonstrating platform being developed together with end-users, technology providers and research institutes in A*STAR and institutes of higher learning (IHL) to test-bed processes, benefits to the economy and the workforce. Responsibilities: • Be part of a taskforce to support and contribute to the Factory of the future (Industry 4.0) vision for the centre • Investigate, plan and implement smart manufacturing factory concepts into existing factories • Lead collaboration with members and technology vendors to realise smart manufacturing concepts through development and integration, and design implementation methodology for execution • Lead technical planning, execution and delivery of projects on implementation for global industry members • Writing of technical reports and presentation of technical result",Non-executive,Research Engineer / Senior Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/f2422ed9994adf002fa468face5bf6a7
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500,"  Bachelor in Engineering   team player who is motivated to solve technical problems, innovate and deliver to customers   Must be hands-on and work well within a team   Willing to learn and adapt to new technology quickly     The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg • Good knowledge of drawing skills for 3D visualization • Perform data preparation, machine operation of metal AM processing and post processing of metal parts • Process development and optimisation for near net shape metal parts • Perform research, development and implementation of additive manufacturing technology for industrial applications • Technical planning, execution and delivery of development projects for industry members • Good skills in recording data and preparing technical results",Non-executive,Research Engineer / Senior Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/556efb53f7975f6df363147cbd0b1abf
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500,"  Embedded Systems, Masters or Bachelors   Minimum of 3 years of experience   I2C, SPI, I2S, UART, Flash Rams, LCD, SD cards and BLE 4.0/Zigbee, C and C++ programming in 8,16 and 32 bit embedded environments, Linux RTOS and Android OS, designing PCB circuits and soldering ICs for quick POC build-up, hotplug drivers, TCP, HTTPS.   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.  ","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg   Responsibilities: 1. You will be the lead engineer on a project execution team. 2. You will be responsible for the architecture, design, development and implementation of the firmware at the customer site. 3. You would be responsible for bring-up, testing and incremental upgrades to the solution for the industry. 4. You will need to support diagnostics and device operations. 5. Interface with various hardware and software vendors on complex system integration tasks to achieve efficient, cost-effective and delightful product solutions. 6. You will be responsible for building IoT based embedded devices for machines to monitor their condition. 7. You will be designing sensor nodes and writing firmware to capture sensor data in a controller and transmit over the network. 8. Technical planning, execution and delivery of development projects for global industry members 9. Writing of technical reports and presentation of technical result  ",Non-executive,Research Engineer / Senior Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/5fa2f7fa28285f766f505f3e6f422a59
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500," Minimum Bachelor Degree in Computer Science, Information Systems, or related STEM fields. Minimum 3 years of relevant experience in system administration for Linux-based environments, database administration, and database management. Expertise and hands-on experience in the following:   Database management and administration (eg: PostgreSQL , MongoDB System administration of servers (eg: Linux and other Unix Flavours) Familiarity with LAMP stack, virtualisation, storage and backup technology (SAN, NAS), network switches, routers, LAN/WAN and infrastructure setup. Writing and debugging database queries and systems scripts. Database optimization and tuning, system monitoring, backup, recovery, troubleshooting, system and database security Management of host-based firewalls & LDAP servers.     Analytical thinker with strong problem-solving skills and the ability to multi-task  Good documentation and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualisation solutions. For more information about I²R, please visit www.i2r.a-star.edu.sg As a member of the software platform R&D team, you will be responsible for the following:  Operation, management and performance of the platform hardware, software and related infrastructure Installation and deployment of databases & server operating systems Troubleshooting, optimisation, maintenance and monitoring of server and database systems in compliance with requirements Problem management, system administration, patch management, systems backup and recovery Effective management of IT suppliers and vendors to deliver solutions Provision of technical support for project proposals and grant applications   ",Professional,Research Engineer (Smart Energy & Environment Cluster),https://www.mycareersfuture.sg/job/2e8619895a435839949d1fdb9ac3990d
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500," Bachelor  / Master in Electrical and Electronics Engineering Knowledge and experience in RF and microwave measurements Knowledge and skill in computer software and programming such as Mathlab, Labview, etc Good knowledge and experience in measurements, characterization or inspection related work or study   Enthusiastic, highly self-motivated attitude and being able to work in a multi-disciplinary team Good communication, presentation skills and ability to work with industry  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based its prevailing recruitment policies. These policies may be amended from time to time without notice.  We regret that only shortlisted candidates will be notified.","About the National Metrology Centre (NMC) The National Metrology Centre (NMC) is Singapore’s measurement science and technology institute, under the Agency for Science, Technology and Research (A*STAR). NMC conducts R&D in the science of measurement to enable innovation for emerging technologies. With a multi-disciplinary team of scientists and engineers, NMC supports the growth of advanced technologies for industries such as clean energy, nanotechnology, and medical technology. NMC establishes and maintains measurement standards at the highest level of accuracy in Singapore, and are recognised worldwide through the Mutual Recognition Arrangement on measurement as being traceable to the International System of Units (the SI units) under the Metre Convention. Our internationally recognised measurement capabilities help Singapore companies in a broad range of industry sectors, including aerospace, electronics, manufacturing, pharmaceutical and biotechnology, and oil and gas, meet international trade requirements and gain access to markets worldwide. The enhanced accuracy of measurements and standards provided by NMC promotes fair trade, safe environment, productivity, high quality and reliable products. NMC works with companies on research projects, consultancy, training, precision measurements and calibration services. For more information about NMC, please visit www.a-star.edu.sg/nmc Job Description NMC is looking for an enthusiastic, self-motivated, innovative and quick learner to work with a multi-disciplinary team of scientists and engineers. As a Research Engineer in Electromagnetic Metrology, you will have the opportunity to work as a team to develop and apply measurement science and technology expertise to contribute to quality assurance product and process validation and verification, and innovation in emerging industry including advanced digital manufacturing, big data and sensors for internet of things, energy management, and medical device technology. The role in this position includes:  Development and improvement of high accuracy measurement methods and standards Participation in R&D projects to develop RF measurement technology and solutions for the emerging needs of industry Dissemination of measurements know-how to industry ",Fresh/entry level,Research Engineer (Electrical Metrology) - MRF Ref: FY17003 / EM2  /  NMC (A*STAR),https://www.mycareersfuture.sg/job/80743d99423f6e172b60cca3b809c062
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500,"  BS degree in Robotics, Mechanical Engineering, EE, CS or CE   Minimum of 1-2 Years of experience   Must have mechanical systems design, robotics, and industrial automation and control software development experience. Experience in developing software and controls for robotics and automation   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.    ","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg Develop, extend, support and apply robotics software to solve industrial problems. Ability to use the ROS programming framework and Gazebo simulator. Topics of interest include 3D modelling, communications middleware, developer and debugging tools, perception, motion planning, and software packaging and distribution. The ideal candidate is proficient in at least one of these topics, and capable of expanding into others. Responsibilities: • Create software architecture, design and evaluate technologies to use • Design, analyze, troubleshooting and debugging systems and develop software solutions for industry members by translating business requirements into system requirements • Software development in C++, Python, ROS tools and libraries • Full life-cycle library and application development. • Support, maintenance, and documentation of software functionality. • Software testing and quality assurance. • Integrate software with robotic hardware and mechanics to automate the adaptive robotic process • Develop testing and validation strategies • Manage state of the art machine vision technology and integration with robotic processes • Technical project planning and execution on development projects for global industry members • Technical write up and presentation",Non-executive,Research Engineer / Senior Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/d3d1db19d7467e60a8a720f3838aca01
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500,"  Bachelor in Engineering related discipline   Experience in Project Management preferred but not required 2-3 years experience preferred but not essential   At least an intermediate user of Microsoft Office (Word, Excel and PowerPoint)   Entry level candidates with a track record of the above mentioned are encouraged to apply     The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.    ","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg Responsibilities: • Reports to the Project Management Office Team Leader • Assists and advises Technical Project Managers and Project Team members on best practice in the use of project management disciplines, according to the company’s Project Lifecycle Management process •Acts as a reference point for PMO queries from Project Teams and for passing information from PMO to project teams •Ensures project documentation (e.g. project agreement, reports, etc.) is relevant, accurate and complete •Ensures all project documents are properly archived •Tracks and reports on current project status/issues, providing a real-time and comprehensive view of all allocated projects to the PMO on a regular basis •Prepare project status reports by collecting, analyzing, and summarizing information and trends; recommending actions •Update the company’s project lifecycle management procedures and ensures project teams maintain discipline needed to successfully complete their projects •Become an expert user of the company’s Project Management Software to assist Project Managers in using the software (e.g. creating and updating project schedule) •Become an expert user/administrator of project-related websites •Facilitate good communication between the cross-functional team members; fosters team work, motivates personnel and aim towards continual improvement. •Interact with industry members and ensure effective communicate throughout the project life cycle",Non-executive,Research Engineer / Senior Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/12250a37c10f66fc3934e0cdc0fc9fd4
SCIENCE AND ENGINEERING INSTITUTES,Sciences / Laboratory / R&D,Research Engineer,5000,2500," Bachelor’s Degree or above in Engineering or in a relevant discipline 2-5 years’ work experience in application development using Industrial robot/ Collaborative robots for manufacturing application Familiar with Industrial robots integration & offline programming software A team player and technically motivated to solve problems, innovate and deliver to customers  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.  ","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg Job Description    Perform development and implementation of new robotic applications and automation design Technical solution proposal, Task planning and execution on development projects for industry members Technical write up and presentations Develop robotic process automation solution for manufacturing applications Offline Robotic Programming Work with the team to develop robotic techniques and capabilities     ",Non-executive,Research Engineer / Senior Research Engineer (ARTC),https://www.mycareersfuture.sg/job/39020a5dc7636517ffc7d0f417af2889
NANYANG TECHNOLOGICAL UNIVERSITY,"Engineering, Sciences / Laboratory / R&D",Research Engineer,4000,3500,"To be considered for this role, you will need to demonstrate the following knowledge, skills and experience:  A Degree or Masters in electrical engineering  or computer engineering related field Experience of working in project teams to develop IoT/sensor/hardware/web solution An ability to propose novel, creative solutions to current problems Be comfortable both working alone and working across multiple teams Excellent oral and written communication skills An understanding of systems engineering A strong drive to develop yourself and a deep interest in technology An appreciation of current developments in areas such as the Internet of Things, industrial robots, autonomous vehicles and artificial intelligence  What you will gain from this role This role will provide stimulating and challenging work in an area of new technological development, and thus it is an excellent development opportunity. Some of the benefits you may gain are:  Experience of working in research and technology development with a world class engineering company Exposure to current industry challenges and the latest technology being developed to overcome them Involvement in a wide range of engineering activities to develop new control and automation systems and develop a diverse skill set The chance to contribute to engineering products, patents and academic publications in this field Coaching and guidance from experienced engineers and support with your professional development A chance to build a reputation for yourself within both Rolls-Royce and NTU         "," Rolls-Royce Electrical (RRE) is responsible for developing world class electrical technologies and products, as well as the associated integrated power generation and propulsion turnkey systems. RRE is rapidly extending the company's capability in the electrical domain and plays an increasingly important role in all our businesses as we move forward. Rolls-Royce Electrical - Singapore (RRE-SG) is developing electrical technologies/Products and systems to drive the electrification in our aerospace, marine and land power system businesses. RRE-SG is seeking experienced and enthusiastic domain experts who are willing to join us and lead/contribute this unique technology and product development journey. Intelligent Asset Management systems (IAM) require a detailed knowledge of both electrical systems and the equipment and techniques available to monitor their condition. This includes sensors, data acquisition systems, signal processing, data analytics and intelligent systems. The Rolls-Royce@NTU Corporate Lab runs multiple, concurrent research projects to acquire greater knowledge of these topics and develop functioning intelligent asset management solution.  As an IoT research engineer, you will be responsible for designing and implementing digital solution for the IAM. In this role, you would be required to develop a strong technical knowledge of all aspects of IoT and provide specialist support. You would be expected to acquire this knowledge both through collaborative working with the Corporate Lab teams, and through self-study, attending relevant conferences and building a network of contacts. The role will also require you to liaise with Rolls-Royce engineers worldwide to help to ensure the technologies developed are relevant to the needs of the business, and to play a leading role in defining future research work in this field. You would be employed by NTU but you would be working side-by-side the Rolls-Royce team both at the Rolls-Royce Seletar Campus and at the Rolls-Royce@NTU Corporate Lab.    ",Professional,Research Engineer,https://www.mycareersfuture.sg/job/2a644671c5a2c355b6ac949827599420
NANYANG TECHNOLOGICAL UNIVERSITY,"Engineering, Sciences / Laboratory / R&D",Research Engineer,4000,3500,"To be considered for this role, you will need to demonstrate the following knowledge, skills and experience:  A Degree or Masters in electrical engineering  or computer engineering related field Experience of working in project teams to develop IoT/sensor/hardware/web solution An ability to propose novel, creative solutions to current problems Be comfortable both working alone and working across multiple teams Excellent oral and written communication skills An understanding of systems engineering A strong drive to develop yourself and a deep interest in technology An appreciation of current developments in areas such as the Internet of Things, industrial robots, autonomous vehicles and artificial intelligence  What you will gain from this role This role will provide stimulating and challenging work in an area of new technological development, and thus it is an excellent development opportunity. Some of the benefits you may gain are:  Experience of working in research and technology development with a world class engineering company Exposure to current industry challenges and the latest technology being developed to overcome them Involvement in a wide range of engineering activities to develop new control and automation systems and develop a diverse skill set The chance to contribute to engineering products, patents and academic publications in this field Coaching and guidance from experienced engineers and support with your professional development A chance to build a reputation for yourself within both Rolls-Royce and NTU ","Rolls-Royce Electrical (RRE) is responsible for developing world class electrical technologies and products, as well as the associated integrated power generation and propulsion turnkey systems. RRE is rapidly extending the company's capability in the electrical domain and plays an increasingly important role in all our businesses as we move forward. Rolls-Royce Electrical - Singapore (RRE-SG) is developing electrical technologies/Products and systems to drive the electrification in our aerospace, marine and land power system businesses. RRE-SG is seeking experienced and enthusiastic domain experts who are willing to join us and lead/contribute this unique technology and product development journey. Intelligent Asset Management systems (IAM) require a detailed knowledge of both electrical systems and the equipment and techniques available to monitor their condition. This includes sensors, data acquisition systems, signal processing, data analytics and intelligent systems. The Rolls-Royce@NTU Corporate Lab runs multiple, concurrent research projects to acquire greater knowledge of these topics and develop functioning intelligent asset management solution.  As an IoT research engineer, you will be responsible for designing and implementing digital solution for the IAM. In this role, you would be required to develop a strong technical knowledge of all aspects of IoT and provide specialist support. You would be expected to acquire this knowledge both through collaborative working with the Corporate Lab teams, and through self-study, attending relevant conferences and building a network of contacts. The role will also require you to liaise with Rolls-Royce engineers worldwide to help to ensure the technologies developed are relevant to the needs of the business, and to play a leading role in defining future research work in this field. You would be employed by NTU but you would be working side-by-side the Rolls-Royce team both at the Rolls-Royce Seletar Campus and at the Rolls-Royce@NTU Corporate Lab.    ",Professional,Research Engineer,https://www.mycareersfuture.sg/job/1fa6374f8fb52cc2e8fabb65ce62838d
NANYANG TECHNOLOGICAL UNIVERSITY,Sciences / Laboratory / R&D,Research Engineer,6000,3200,"Applicants for these positions should satisfy the following requirements  Bachelor degree in computer science, computer engineering, electrical engineering, information systems or a related discipline Knowledge in computer networks, data structure, system deployment, and software engineering, etc. Strong programming skills on C++, Java, and Python over Linux; Prior experience with open-source software packages (e.g., Openstack, Cloudstack, Openflow, Apache, Hadoop, Spark, etc) Ability to work in a dynamic start-up environment Prior background on large-scale Internet system is a must Proficient with English language as candidate will be required to read and write documents and reports  Candidate(s) with industrial experience are particularly encouraged to apply.","Background DMAL at Nanyang Technological University, Singapore, is seeking one motivated research engineer in the area of cloud computing platform and applications. Areas of interest include, but are not limited to, •    Data Centre Infrastructure Management and Operations •    Media Processing and Content Distribution Network •    Responsive Web Design and Implementation •    Big-Data Platforms and Algorithms •    Mobile Application Development  Responsibilities: The research engineer is expected to serve as a system architect for system prototype(s) for data centre management and operational software, mobile cloud media applications, and big-data applications. He/she has opportunities to collaborate with top researchers and engineers around the world.","Professional, Executive",Research Engineer,https://www.mycareersfuture.sg/job/c6ab56b93923d8d1eff27f2545013019
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500," Bachelor’s degree in any AI-related field (E.g. Cognitive Science, Computer Science, Electrical Engineering, Human-Computer Interaction, Information Systems, Linguistics, Psychology, Software Engineering, etc.) Possess strong programming skills or other quantitative skills (E.g. Statistical Analysis) Experience in computer vision, image processing, multimedia, natural language processing, or machine learning  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg   The A*STAR Artificial Intelligence (AI) Programme is seeking exceptional engineers to expand our dynamic and multi-disciplinary AI team. Our current team members have degrees in computer science, information systems, psychology, cognitive science and neuroscience from Berkeley, CMU, NTU, NUS, MIT, Princeton, Stanford, UCSD, UIUC, etc. We work on some of the most crucial, incredibly hard, and future-oriented problems in AI. The goal of our programme is to develop next-generation AI technologies that will enable machines to:  Learn like humans (as a child would from instruction, demonstration, or experience with a small number of examples) Reason for humans (by being able to explain their reasoning, and to personalize recommendations based on their understanding of individual users) Deeply understand humans (using knowledge of human needs/motivations, social/cultural norms, and commonsense)  Our overarching technical approach is to combine various state-of-the-art techniques with top-down knowledge. Briefly, our current research topics include:  Personalized explainable AI: AI that is able to provide personalized explanations of the reasoning underlying its recommendations and decisions Socio-cultural visual intelligence: AI that can provide coherent descriptions of visual scenes taking context and social-cultural knowledge into account Socio-cultural understanding of speech and text: AI that can recognize figurative language, infer their social-cultural significance, and ultimately, understand meaning in speech and texts Human-like learning and Instructable AI: AI that can learn from real-world experience, and be programmed by non-experts, through verbal/text instruction and visual demonstrations Cognitive architectures: Cognitive architectures have the goal of bringing together the necessary cognitive machinery necessary for general artificial intelligence for autonomous behavior ",Non-executive,Research Engineer (CHEEM / A*STAR),https://www.mycareersfuture.sg/job/c0271473014ea9d91382d25f3eb9dd5a
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,12600,6300,"  Master/Bachelor in Computer Science, Applied Mathematics, Engineering or Statistics   Minimum of 8 Years of experience   Experience in system implementation of one or more of these platforms is a must: MES, APS, SCADA, CIM/Automation, Manufacturing Intelligence; Experience in implementing & deploying mission critical systems     The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.    ","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg To drive the adoption of industry 4.0 solutions, ARTC has set up the Smart Manufacturing Group as a demonstrating platform for the industry. This public-private partnership programme aims to co-develop a model factory with industry players, to collaborate and develop Future or Manufacturing (FoM) technologies, based on real applications in advanced manufacturing and remanufacturing. With the demonstrating platform being developed together with end-users, technology providers and research institutes in A*STAR and institutes of higher learning (IHL) to test-bed processes, benefits to the economy and the workforce. Responsibilities: • Be part of a taskforce to support and contribute to the Factory of the future (Industry 4.0) vision for the centre • Investigate, plan and implement smart manufacturing factory concepts into existing factories • Collaborate with members and technology vendors to realise smart manufacturing concepts through development and integration, and design implementation methodology for execution • Technical planning, execution and delivery of projects on brownfield implementation for global industry members • Writing of technical reports and presentation of technical result",Senior Executive,Principal Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/4813b0277220aea4e4deaf582bdffcba
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500," Degree/Masters in Engi nee ring 0-3 years of relevant experience Good communication skills, Project Management Skills    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.    ","The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg    Perform research, development and implementation of new robotic capabilities in adaptive control,integrated vision and sensory system Software development in C/C++/C# or LabVIEW for robotic applications Integrate software with robotic hardware and mechanics to automate the adaptive robotic process Develop testing and validation strategies Manage state of the art machine vision technology and integration with robotic processes Technical project planning and execution on development projects for global industry members Technical write up and presentation   ",Non-executive,Research Engineer (ARTC / A*STAR),https://www.mycareersfuture.sg/job/2348ed5b4d22fdccebc55d51c5e5e72c
A*STAR RESEARCH ENTITIES,Sciences / Laboratory / R&D,Research Engineer,5000,2500, Bachelor’s Degree in Engineering Ability to work independently on research tasks assigned meeting milestones and achieving the deliverables Assist and support in projects assigned where required Ability to work effectively in a team and independently Ability to communicate and interact with staff and industry personnel successfully  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.,"About the Singapore Institute of Manufacturing Technology (SIMTech) The Singapore Institute of Manufacturing Technology (SIMTech) is a research institute of the Science and Engineering Research Council (SERC) of the Agency for Science, Technology and Research (A*STAR). SIMTech develops high value manufacturing technology and human capital to contribute to the competitiveness of the Singapore industry. It collaborates with multinational and local companies in the precision engineering, electronics, semiconductor, medical technology, aerospace, automotive, marine, oil and gas, logistics and other sectors. For more information, please visit www.SIMTech.a-star.edu.sg Job Description: SIMTech is looking for a motivated, innovative quick learner with excellent interpersonal skills to join the Microfluidics Manufacturing Programme (MMP). The successful candidate will have opportunities to obtain the on-job training under SIMTech Manufacturing R&D Certificate Programme (MRDC).",Fresh/entry level,Research Engineer - Manufacturing R&D Certificate Programme (MMP) - SIMTech (A*STAR),https://www.mycareersfuture.sg/job/465a0578afb0cbafc62aa04cedb384bd
